#	PLAYER	TEAM	GP	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	STL	BLK	TOV	EFF
77	Malcolm Brogdon	BOS	54	25.4	14.6	5.1	10.5	48.8	2.0	4.4	46.0	2.3	2.6	88.7	0.6	3.5	4.1	3.7	0.6	0.3	1.6	16.1
78	Dillon Brooks	MEM	56	30.3	14.5	5.4	13.9	39.1	1.8	5.8	31.8	1.8	2.3	79.4	0.6	2.6	3.3	2.5	0.9	0.2	1.5	10.9
79	Saddiq Bey	ATL	57	28.5	14.4	4.6	11.3	40.7	2.0	5.6	36.2	3.2	3.7	86.3	1.1	3.5	4.7	1.5	0.9	0.2	1.0	13.6
80	Collin Sexton	UTA	47	24.0	14.3	4.9	9.7	50.7	1.0	2.5	41.0	3.4	4.2	82.2	0.8	1.4	2.2	2.9	0.6	0.1	1.8	12.7
81	Jonas Valanciunas	NOP	61	24.9	14.2	5.6	10.4	54.2	0.5	1.5	33.7	2.5	3.0	82.1	2.8	6.9	9.7	1.7	0.3	0.5	1.9	19.1
82	Luguentz Dort	OKC	55	30.1	14.1	4.8	11.9	40.4	1.9	5.4	34.5	2.6	3.5	75.8	1.5	2.8	4.3	2.2	1.0	0.3	1.3	12.7
83	Tim Hardaway Jr.	DAL	57	30.2	14.0	4.6	12.1	38.3	2.9	7.9	36.4	1.8	2.4	76.3	0.3	3.3	3.6	1.7	0.7	0.1	0.8	11.3
84	Bobby Portis	MIL	51	26.2	14.0	5.7	11.6	49.4	1.2	3.5	33.9	1.3	1.6	82.5	2.5	7.3	9.8	1.7	0.5	0.2	1.2	18.8
85	Malik Monk	SAC	58	22.7	13.9	4.9	10.7	45.6	1.8	5.1	34.3	2.4	2.7	90.3	0.5	2.1	2.6	3.8	0.6	0.2	2.0	13.1
86	Jusuf Nurkic	POR	45	27.2	13.8	5.2	9.8	52.4	0.9	2.2	39.0	2.6	3.8	68.6	2.3	7.2	9.4	2.9	0.9	0.9	2.4	19.5
87	Rudy Gobert	MIN	52	30.4	13.4	5.2	7.6	67.8	0.0	0.1	0.0	3.1	4.7	66.3	3.1	8.3	11.5	0.9	0.8	1.3	1.8	22.1
88	Malik Beasley	LAL	62	26.6	13.3	4.8	12.2	39.6	3.1	8.6	35.8	0.6	0.8	78.7	0.4	3.1	3.5	1.7	0.9	0.1	1.1	10.9
89	John Collins	ATL	52	30.9	13.2	5.1	10.1	50.8	0.8	3.2	25.3	2.1	2.5	81.8	1.1	5.8	7.0	1.2	0.7	1.2	1.2	16.5
